assessment_id,control_id,control_family,system_id,system_name,assessment_date,assessment_type,assessor,implementation_status,effectiveness_rating,gap_description,remediation_plan,remediation_due_date,remediation_owner,findings
06fee98f-d6cb-497f-b100-3f4fc8f91f06,AU-12,Audit and Accountability,78460fd6-1df2-4bea-a9db-1e1c4546166f,Financial HRIS,2025-07-20,Self-Assessment,Compliance Team,Implemented,Effective,,,,,Assessment of AU-12 for Financial HRIS
4537debf-2332-49c8-9ee5-4e0c7d8497f5,PS-8,Personnel Security,78460fd6-1df2-4bea-a9db-1e1c4546166f,Financial HRIS,2025-07-03,Self-Assessment,External Auditor - Deloitte,Partially Implemented,Partially Effective,Missing formal documentation of the control procedure,Deploy configuration management solution,2025-10-19,William Johnson,Assessment of PS-8 for Financial HRIS
7dcaf272-de14-40f4-bb79-55a9189fc747,CP-2,Contingency Planning,78460fd6-1df2-4bea-a9db-1e1c4546166f,Financial HRIS,2025-08-01,Self-Assessment,Security Operations,Implemented,Effective,,,,,Assessment of CP-2 for Financial HRIS
656a1a55-20ad-477e-a930-7e997b698e80,CA-1,Assessment Authorization and Monitoring,78460fd6-1df2-4bea-a9db-1e1c4546166f,Financial HRIS,2025-08-27,Self-Assessment,GRC Team,Implemented,Effective,,,,,Assessment of CA-1 for Financial HRIS
b27edfae-a821-4116-b7e0-b03fbeced0a2,RA-7,Risk Assessment,78460fd6-1df2-4bea-a9db-1e1c4546166f,Financial HRIS,2025-07-20,External Audit,Security Operations,Implemented,Effective,,,,,Assessment of RA-7 for Financial HRIS
abdfa7ae-be8f-410d-aa08-c18a3392cd8d,SC-21,System and Communications Protection,78460fd6-1df2-4bea-a9db-1e1c4546166f,Financial HRIS,2025-08-22,Internal Audit,Risk Management,Partially Implemented,Partially Effective,Legacy system limitation prevents full implementation,Deploy centralized logging solution,2025-10-26,William Johnson,Assessment of SC-21 for Financial HRIS
b2702914-78f6-4e97-9656-a4fc7e9ee17c,CM-6,Configuration Management,78460fd6-1df2-4bea-a9db-1e1c4546166f,Financial HRIS,2025-07-21,Internal Audit,Compliance Team,Implemented,Effective,,,,,Assessment of CM-6 for Financial HRIS
8a082cf4-4e7d-478c-80a8-91fd722110cf,IR-6,Incident Response,78460fd6-1df2-4bea-a9db-1e1c4546166f,Financial HRIS,2025-07-25,Self-Assessment,GRC Team,Partially Implemented,Partially Effective,Technical debt impacting control effectiveness,Implement automated compliance checks,2025-12-16,William Johnson,Assessment of IR-6 for Financial HRIS
fe285ba1-3d7d-45cb-ba09-880d8c4fa9af,SA-8,System and Services Acquisition,78460fd6-1df2-4bea-a9db-1e1c4546166f,Financial HRIS,2025-07-28,Self-Assessment,IT Security Team,Implemented,Effective,,,,,Assessment of SA-8 for Financial HRIS
0f87d9c8-2ac4-4086-9ebd-80cca8d034ad,CP-9,Contingency Planning,78460fd6-1df2-4bea-a9db-1e1c4546166f,Financial HRIS,2025-07-30,Internal Audit,External Auditor - Deloitte,Implemented,Effective,,,,,Assessment of CP-9 for Financial HRIS
d410ff62-8b7b-4171-91c2-8d093704bd17,IA-11,Identification and Authentication,78460fd6-1df2-4bea-a9db-1e1c4546166f,Financial HRIS,2025-07-03,Continuous Monitoring,Security Operations,Partially Implemented,Partially Effective,Integration with monitoring tools incomplete,Implement automated compliance checks,2025-11-09,William Johnson,Assessment of IA-11 for Financial HRIS
f58bd982-bad2-4311-a29d-8720cdbd8f71,AC-8,Access Control,78460fd6-1df2-4bea-a9db-1e1c4546166f,Financial HRIS,2025-07-08,Internal Audit,IT Security Team,Implemented,Partially Effective,,,,,Assessment of AC-8 for Financial HRIS
3f1e816f-5bb9-4f33-9745-cb7e651f6931,PS-4,Personnel Security,78460fd6-1df2-4bea-a9db-1e1c4546166f,Financial HRIS,2025-08-21,Internal Audit,External Auditor - PwC,Implemented,Partially Effective,,,,,Assessment of PS-4 for Financial HRIS
a7440b8f-176c-4f45-b71c-ad0a24693940,CA-7,Assessment Authorization and Monitoring,78460fd6-1df2-4bea-a9db-1e1c4546166f,Financial HRIS,2025-08-25,Self-Assessment,IT Security Team,Implemented,Effective,,,,,Assessment of CA-7 for Financial HRIS
857dbde9-c590-4012-ad8e-f3488fd603c9,CP-3,Contingency Planning,78460fd6-1df2-4bea-a9db-1e1c4546166f,Financial HRIS,2025-08-10,Continuous Monitoring,GRC Team,Implemented,Not Effective,,,,,Assessment of CP-3 for Financial HRIS
8b971548-f00f-43b3-b5b4-0fef8264a23b,AT-1,Awareness and Training,78460fd6-1df2-4bea-a9db-1e1c4546166f,Financial HRIS,2025-08-10,Self-Assessment,External Auditor - KPMG,Partially Implemented,Partially Effective,Third-party dependency blocking full implementation,Deploy configuration management solution,2025-11-10,William Johnson,Assessment of AT-1 for Financial HRIS
88232c82-54c7-4717-be3b-627cfbf23072,IR-5,Incident Response,78460fd6-1df2-4bea-a9db-1e1c4546166f,Financial HRIS,2025-08-01,Self-Assessment,GRC Team,Implemented,Partially Effective,,,,,Assessment of IR-5 for Financial HRIS
66756165-eea6-4aeb-a909-31c695e80390,AT-2,Awareness and Training,78460fd6-1df2-4bea-a9db-1e1c4546166f,Financial HRIS,2025-06-30,Internal Audit,External Auditor - PwC,Implemented,Effective,,,,,Assessment of AT-2 for Financial HRIS
a4581320-e96d-4a99-80eb-3c2e93e714f4,SC-15,System and Communications Protection,78460fd6-1df2-4bea-a9db-1e1c4546166f,Financial HRIS,2025-08-09,Continuous Monitoring,Internal Audit Team,Implemented,Effective,,,,,Assessment of SC-15 for Financial HRIS
dd7d1f78-0a05-444f-ad0f-c4716b0d681e,PL-11,Planning,78460fd6-1df2-4bea-a9db-1e1c4546166f,Financial HRIS,2025-07-05,Self-Assessment,Compliance Team,Implemented,Effective,,,,,Assessment of PL-11 for Financial HRIS
efe5e16e-6384-4cf3-8867-bb037ef716dd,PL-10,Planning,78460fd6-1df2-4bea-a9db-1e1c4546166f,Financial HRIS,2025-08-28,Self-Assessment,Internal Audit Team,Implemented,Partially Effective,,,,,Assessment of PL-10 for Financial HRIS
9b143f4d-c915-472a-a0a1-50b98cfd739a,CM-7,Configuration Management,78460fd6-1df2-4bea-a9db-1e1c4546166f,Financial HRIS,2025-07-23,Self-Assessment,External Auditor - KPMG,Implemented,Effective,,,,,Assessment of CM-7 for Financial HRIS
2b39e2bc-cebd-4e2e-83f2-4004928817c7,SC-20,System and Communications Protection,78460fd6-1df2-4bea-a9db-1e1c4546166f,Financial HRIS,2025-08-13,Self-Assessment,Compliance Team,Implemented,Effective,,,,,Assessment of SC-20 for Financial HRIS
fd47b286-47a5-4145-9b92-b8c68b5f528f,RA-1,Risk Assessment,78460fd6-1df2-4bea-a9db-1e1c4546166f,Financial HRIS,2025-07-26,External Audit,Internal Audit Team,Implemented,Partially Effective,,,,,Assessment of RA-1 for Financial HRIS
027e6c17-81f1-47cc-be12-60139884e30f,PM-9,Program Management,78460fd6-1df2-4bea-a9db-1e1c4546166f,Financial HRIS,2025-08-20,Internal Audit,Internal Audit Team,Implemented,Effective,,,,,Assessment of PM-9 for Financial HRIS
83983a4f-b558-4bc1-9cf0-b3eb84b7b79b,MA-4,Maintenance,78460fd6-1df2-4bea-a9db-1e1c4546166f,Financial HRIS,2025-08-07,Internal Audit,GRC Team,Implemented,Not Effective,,,,,Assessment of MA-4 for Financial HRIS
10ec8e9d-9d6d-4c21-a8d8-94a3f38358f2,PL-2,Planning,78460fd6-1df2-4bea-a9db-1e1c4546166f,Financial HRIS,2025-08-20,Internal Audit,Risk Management,Implemented,Effective,,,,,Assessment of PL-2 for Financial HRIS
86affffe-9dde-4b64-b951-400673c1524d,IR-8,Incident Response,78460fd6-1df2-4bea-a9db-1e1c4546166f,Financial HRIS,2025-08-21,Self-Assessment,Risk Management,Not Implemented,Not Effective,Missing formal documentation of the control procedure,Establish evidence collection workflow,2025-10-21,William Johnson,Assessment of IR-8 for Financial HRIS
e6b78c9a-8eea-4660-b405-cfe20318c3ed,PE-13,Physical and Environmental Protection,78460fd6-1df2-4bea-a9db-1e1c4546166f,Financial HRIS,2025-08-18,Self-Assessment,Security Operations,Partially Implemented,Partially Effective,Legacy system limitation prevents full implementation,Deploy configuration management solution,2026-02-04,William Johnson,Assessment of PE-13 for Financial HRIS
f0550316-2e81-4dbf-a650-522967fdf9b1,AT-3,Awareness and Training,78460fd6-1df2-4bea-a9db-1e1c4546166f,Financial HRIS,2025-08-16,External Audit,Risk Management,Implemented,Partially Effective,,,,,Assessment of AT-3 for Financial HRIS
90531854-2b37-4862-868c-6dffeb4df77d,PS-6,Personnel Security,78460fd6-1df2-4bea-a9db-1e1c4546166f,Financial HRIS,2025-07-26,Internal Audit,External Auditor - PwC,Implemented,Not Effective,,,,,Assessment of PS-6 for Financial HRIS
57340ecc-9bfc-466c-abc2-d36aed9d5abd,SA-2,System and Services Acquisition,78460fd6-1df2-4bea-a9db-1e1c4546166f,Financial HRIS,2025-07-27,Internal Audit,Security Operations,Implemented,Effective,,,,,Assessment of SA-2 for Financial HRIS
16ecc9af-c50e-4dff-9155-35b4ecd0917d,SC-39,System and Communications Protection,78460fd6-1df2-4bea-a9db-1e1c4546166f,Financial HRIS,2025-07-31,Internal Audit,Compliance Team,Implemented,Effective,,,,,Assessment of SC-39 for Financial HRIS
fec634fa-95a8-4701-821b-23e950ee1c7a,IA-5,Identification and Authentication,ee0c4aa1-a2f8-495a-9cbf-30d373ad195e,Supply Chain CRM,2025-04-25,Self-Assessment,Risk Management,Implemented,Partially Effective,,,,,Assessment of IA-5 for Supply Chain CRM
4faf2668-f823-4eec-82da-93292ec44916,PM-11,Program Management,ee0c4aa1-a2f8-495a-9cbf-30d373ad195e,Supply Chain CRM,2025-04-28,Self-Assessment,Internal Audit Team,Not Implemented,Not Effective,"Configuration drift detected, remediation in progress",Engage vendor for implementation support,2025-08-25,Kimberly Thomas,Assessment of PM-11 for Supply Chain CRM
c86f74b9-af5c-4dee-a7a3-5e0f57216b97,AC-1,Access Control,ee0c4aa1-a2f8-495a-9cbf-30d373ad195e,Supply Chain CRM,2025-04-25,Self-Assessment,External Auditor - Deloitte,Implemented,Effective,,,,,Assessment of AC-1 for Supply Chain CRM
6c9cc558-ee06-487a-98d3-b4714a661739,CM-6,Configuration Management,ee0c4aa1-a2f8-495a-9cbf-30d373ad195e,Supply Chain CRM,2025-05-31,Internal Audit,GRC Team,Partially Implemented,Partially Effective,Policy documented but evidence collection incomplete,Deploy configuration management solution,2025-11-17,Kimberly Thomas,Assessment of CM-6 for Supply Chain CRM
879c3129-35d3-4ecc-b409-b3ad533ae7a2,SC-13,System and Communications Protection,ee0c4aa1-a2f8-495a-9cbf-30d373ad195e,Supply Chain CRM,2025-04-23,Internal Audit,Internal Audit Team,Implemented,Effective,,,,,Assessment of SC-13 for Supply Chain CRM
e4cc4e3f-4a47-44ef-9380-afdf1a8757e3,RA-3,Risk Assessment,ee0c4aa1-a2f8-495a-9cbf-30d373ad195e,Supply Chain CRM,2025-04-11,Self-Assessment,External Auditor - KPMG,Implemented,Effective,,,,,Assessment of RA-3 for Supply Chain CRM
8ead97a6-b65f-4d8d-81bd-a9e9486224dd,IA-4,Identification and Authentication,ee0c4aa1-a2f8-495a-9cbf-30d373ad195e,Supply Chain CRM,2025-05-02,Self-Assessment,External Auditor - Deloitte,Partially Implemented,Partially Effective,Awaiting management approval for implementation,Establish evidence collection workflow,2025-08-05,Kimberly Thomas,Assessment of IA-4 for Supply Chain CRM
79d513af-bfa4-4ddc-956d-b60829762412,AT-2,Awareness and Training,ee0c4aa1-a2f8-495a-9cbf-30d373ad195e,Supply Chain CRM,2025-05-05,Internal Audit,External Auditor - PwC,Implemented,Partially Effective,,,,,Assessment of AT-2 for Supply Chain CRM
c6659dc2-edd1-4f76-93b6-28f009f4f92c,PS-4,Personnel Security,ee0c4aa1-a2f8-495a-9cbf-30d373ad195e,Supply Chain CRM,2025-06-03,Self-Assessment,IT Security Team,Implemented,Effective,,,,,Assessment of PS-4 for Supply Chain CRM
cfbf30e9-0b3b-474a-892a-3d64d54e81b9,MA-5,Maintenance,ee0c4aa1-a2f8-495a-9cbf-30d373ad195e,Supply Chain CRM,2025-05-21,Self-Assessment,External Auditor - KPMG,Implemented,Effective,,,,,Assessment of MA-5 for Supply Chain CRM
69556baf-f305-4aa4-97ca-b881baa19822,SI-1,System and Information Integrity,ee0c4aa1-a2f8-495a-9cbf-30d373ad195e,Supply Chain CRM,2025-05-09,Internal Audit,External Auditor - Deloitte,Partially Implemented,Partially Effective,Missing formal documentation of the control procedure,Implement automated compliance checks,2025-08-25,Kimberly Thomas,Assessment of SI-1 for Supply Chain CRM
87d895ce-7e3b-4aad-9b63-6d3866bb1534,AU-11,Audit and Accountability,ee0c4aa1-a2f8-495a-9cbf-30d373ad195e,Supply Chain CRM,2025-04-28,Self-Assessment,IT Security Team,Implemented,Effective,,,,,Assessment of AU-11 for Supply Chain CRM
b4d903e9-d94c-4843-b409-95b6c894d7fa,SR-2,Supply Chain Risk Management,ee0c4aa1-a2f8-495a-9cbf-30d373ad195e,Supply Chain CRM,2025-05-18,Self-Assessment,GRC Team,Not Implemented,Not Effective,Training not yet completed for all relevant personnel,Implement automated compliance checks,2025-06-18,Kimberly Thomas,Assessment of SR-2 for Supply Chain CRM
c88cf0f6-41ba-43ed-81a2-4a177b987a7d,SA-22,System and Services Acquisition,ee0c4aa1-a2f8-495a-9cbf-30d373ad195e,Supply Chain CRM,2025-05-25,Self-Assessment,External Auditor - Deloitte,Implemented,Effective,,,,,Assessment of SA-22 for Supply Chain CRM
34b09959-b4ce-4b46-98ff-3e2c724cbd7b,AU-9,Audit and Accountability,ee0c4aa1-a2f8-495a-9cbf-30d373ad195e,Supply Chain CRM,2025-06-02,Self-Assessment,External Auditor - PwC,Not Implemented,Not Effective,Training not yet completed for all relevant personnel,Implement automated control monitoring by Q1 2025,2025-08-31,Kimberly Thomas,Assessment of AU-9 for Supply Chain CRM
f121ff67-1e74-4879-878a-0dd2e552249d,IA-8,Identification and Authentication,ee0c4aa1-a2f8-495a-9cbf-30d373ad195e,Supply Chain CRM,2025-05-10,Self-Assessment,Compliance Team,Implemented,Effective,,,,,Assessment of IA-8 for Supply Chain CRM
f302ab29-8ea7-4beb-aac7-30a0f0b67258,PE-8,Physical and Environmental Protection,ee0c4aa1-a2f8-495a-9cbf-30d373ad195e,Supply Chain CRM,2025-04-29,External Audit,GRC Team,Implemented,Partially Effective,,,,,Assessment of PE-8 for Supply Chain CRM
8f1f72b0-c8cb-4dc8-af52-b27dce485a05,IR-1,Incident Response,ee0c4aa1-a2f8-495a-9cbf-30d373ad195e,Supply Chain CRM,2025-05-16,Continuous Monitoring,Risk Management,Partially Implemented,Partially Effective,Integration with monitoring tools incomplete,Engage vendor for implementation support,2025-10-24,Kimberly Thomas,Assessment of IR-1 for Supply Chain CRM
3c7e4605-4ffa-47b3-86af-42b915a4a65f,PM-3,Program Management,ee0c4aa1-a2f8-495a-9cbf-30d373ad195e,Supply Chain CRM,2025-04-11,External Audit,Security Operations,Implemented,Effective,,,,,Assessment of PM-3 for Supply Chain CRM
9464ac67-79b5-4be6-a172-6ccf5ef3e582,PS-7,Personnel Security,ee0c4aa1-a2f8-495a-9cbf-30d373ad195e,Supply Chain CRM,2025-06-02,Self-Assessment,Security Operations,Implemented,Effective,,,,,Assessment of PS-7 for Supply Chain CRM
c9822e6c-1e6c-436d-97c7-aeed3548b3d7,MP-7,Media Protection,ee0c4aa1-a2f8-495a-9cbf-30d373ad195e,Supply Chain CRM,2025-05-06,External Audit,IT Security Team,Implemented,Effective,,,,,Assessment of MP-7 for Supply Chain CRM
0fcbcb0e-045b-4afb-af19-dc504e2103f7,CA-6,Assessment Authorization and Monitoring,ee0c4aa1-a2f8-495a-9cbf-30d373ad195e,Supply Chain CRM,2025-05-19,Self-Assessment,IT Security Team,Implemented,Effective,,,,,Assessment of CA-6 for Supply Chain CRM
16e5ac11-5894-4832-9900-1e0239f801e1,SA-9,System and Services Acquisition,ee0c4aa1-a2f8-495a-9cbf-30d373ad195e,Supply Chain CRM,2025-05-23,Internal Audit,GRC Team,Implemented,Effective,,,,,Assessment of SA-9 for Supply Chain CRM
78eebc97-da62-4564-a646-fc864bcbbc2e,MP-6,Media Protection,ee0c4aa1-a2f8-495a-9cbf-30d373ad195e,Supply Chain CRM,2025-05-14,Self-Assessment,External Auditor - PwC,Partially Implemented,Not Effective,Policy documented but evidence collection incomplete,Implement automated compliance checks,2025-08-19,Kimberly Thomas,Assessment of MP-6 for Supply Chain CRM
a6401d68-bbda-4fd0-b749-a68511adea7e,AT-4,Awareness and Training,ee0c4aa1-a2f8-495a-9cbf-30d373ad195e,Supply Chain CRM,2025-05-18,Self-Assessment,Internal Audit Team,Not Implemented,Not Effective,Third-party dependency blocking full implementation,Engage vendor for implementation support,2025-07-09,Kimberly Thomas,Assessment of AT-4 for Supply Chain CRM
883d6af9-b481-4fad-af0f-cb69e71a8a09,AC-17,Access Control,ee0c4aa1-a2f8-495a-9cbf-30d373ad195e,Supply Chain CRM,2025-05-17,External Audit,Security Operations,Implemented,Effective,,,,,Assessment of AC-17 for Supply Chain CRM
84f9871d-7b61-4b09-b605-95e3aef03de0,CP-3,Contingency Planning,ee0c4aa1-a2f8-495a-9cbf-30d373ad195e,Supply Chain CRM,2025-04-13,Internal Audit,External Auditor - Deloitte,Not Applicable,,,,,,Assessment of CP-3 for Supply Chain CRM
eabfd61c-95a4-467e-b39a-291767693019,PS-3,Personnel Security,ee0c4aa1-a2f8-495a-9cbf-30d373ad195e,Supply Chain CRM,2025-06-05,Self-Assessment,Compliance Team,Not Applicable,,,,,,Assessment of PS-3 for Supply Chain CRM
7c1aed3a-e6f1-48b2-beca-515642b3aa8b,MA-2,Maintenance,ee0c4aa1-a2f8-495a-9cbf-30d373ad195e,Supply Chain CRM,2025-05-13,Internal Audit,Security Operations,Implemented,Effective,,,,,Assessment of MA-2 for Supply Chain CRM
5aba2cff-59b1-4137-b8ee-85b9c425bf11,IR-2,Incident Response,ee0c4aa1-a2f8-495a-9cbf-30d373ad195e,Supply Chain CRM,2025-04-20,Internal Audit,IT Security Team,Implemented,Effective,,,,,Assessment of IR-2 for Supply Chain CRM
c9d0d897-0274-462a-b90f-cba22fd6393a,SC-22,System and Communications Protection,74d84c27-f092-4709-a5df-625cfdad6495,Partner Data Platform,2025-02-10,Internal Audit,Compliance Team,Partially Implemented,Partially Effective,Training not yet completed for all relevant personnel,Deploy centralized logging solution,2025-04-18,Michael Clark,Assessment of SC-22 for Partner Data Platform
b425730a-c765-4428-b3e9-4b3e3cd5f807,IA-12,Identification and Authentication,74d84c27-f092-4709-a5df-625cfdad6495,Partner Data Platform,2025-02-12,Continuous Monitoring,External Auditor - KPMG,Implemented,Effective,,,,,Assessment of IA-12 for Partner Data Platform
3f1d91b3-a982-4345-af72-75cc1809623e,SC-23,System and Communications Protection,74d84c27-f092-4709-a5df-625cfdad6495,Partner Data Platform,2025-03-30,Internal Audit,External Auditor - Deloitte,Implemented,Effective,,,,,Assessment of SC-23 for Partner Data Platform
b24a3363-cb95-492c-ad75-2bdc7afc544c,SC-5,System and Communications Protection,74d84c27-f092-4709-a5df-625cfdad6495,Partner Data Platform,2025-04-01,Internal Audit,External Auditor - PwC,Implemented,Partially Effective,,,,,Assessment of SC-5 for Partner Data Platform
66b0efac-d89e-4c34-b687-f18244779493,CA-7,Assessment Authorization and Monitoring,74d84c27-f092-4709-a5df-625cfdad6495,Partner Data Platform,2025-03-23,Self-Assessment,Security Operations,Implemented,Effective,,,,,Assessment of CA-7 for Partner Data Platform
28669196-e90d-42d3-b6db-40d304e883c5,CM-2,Configuration Management,74d84c27-f092-4709-a5df-625cfdad6495,Partner Data Platform,2025-02-06,External Audit,External Auditor - PwC,Implemented,Effective,,,,,Assessment of CM-2 for Partner Data Platform
751aaa52-110a-4218-9e14-dbfb7ddc1d2a,SC-10,System and Communications Protection,74d84c27-f092-4709-a5df-625cfdad6495,Partner Data Platform,2025-03-28,Internal Audit,GRC Team,Not Implemented,Not Effective,Awaiting management approval for implementation,Implement automated compliance checks,2025-09-16,Michael Clark,Assessment of SC-10 for Partner Data Platform
b5b0ab1a-899b-46da-b243-4a93447c0e4a,SR-2,Supply Chain Risk Management,74d84c27-f092-4709-a5df-625cfdad6495,Partner Data Platform,2025-03-04,External Audit,Compliance Team,Implemented,Effective,,,,,Assessment of SR-2 for Partner Data Platform
21dbae5a-c6f1-4a13-b40b-886f528b5375,AC-1,Access Control,74d84c27-f092-4709-a5df-625cfdad6495,Partner Data Platform,2025-02-15,Self-Assessment,IT Security Team,Implemented,Effective,,,,,Assessment of AC-1 for Partner Data Platform
625f8682-6250-4189-9aed-f4a2a9395356,SC-18,System and Communications Protection,74d84c27-f092-4709-a5df-625cfdad6495,Partner Data Platform,2025-02-04,Internal Audit,External Auditor - KPMG,Partially Implemented,Partially Effective,Training not yet completed for all relevant personnel,Implement automated compliance checks,2025-05-11,Michael Clark,Assessment of SC-18 for Partner Data Platform
f7d8c69b-1bf0-4d12-bf36-9777c4031b20,AT-3,Awareness and Training,74d84c27-f092-4709-a5df-625cfdad6495,Partner Data Platform,2025-03-11,External Audit,External Auditor - PwC,Partially Implemented,Partially Effective,Pending vendor support for required functionality,Establish evidence collection workflow,2025-06-11,Michael Clark,Assessment of AT-3 for Partner Data Platform
76d32f4c-594b-4913-aec9-467804529828,PL-11,Planning,74d84c27-f092-4709-a5df-625cfdad6495,Partner Data Platform,2025-03-19,Continuous Monitoring,GRC Team,Implemented,Effective,,,,,Assessment of PL-11 for Partner Data Platform
d41faef1-3f87-4806-8008-3be6c516d827,AU-5,Audit and Accountability,74d84c27-f092-4709-a5df-625cfdad6495,Partner Data Platform,2025-02-26,External Audit,IT Security Team,Implemented,Effective,,,,,Assessment of AU-5 for Partner Data Platform
39385016-b52e-48b6-bde2-13d084691a8c,PM-8,Program Management,74d84c27-f092-4709-a5df-625cfdad6495,Partner Data Platform,2025-03-22,Self-Assessment,Security Operations,Implemented,Not Effective,,,,,Assessment of PM-8 for Partner Data Platform
38d53831-5a8f-4238-b606-26e2b65583db,PS-7,Personnel Security,74d84c27-f092-4709-a5df-625cfdad6495,Partner Data Platform,2025-02-15,External Audit,IT Security Team,Implemented,Effective,,,,,Assessment of PS-7 for Partner Data Platform
4561ff4b-2754-4215-84fd-2030a2fd204a,CA-9,Assessment Authorization and Monitoring,74d84c27-f092-4709-a5df-625cfdad6495,Partner Data Platform,2025-02-05,Internal Audit,External Auditor - KPMG,Implemented,Effective,,,,,Assessment of CA-9 for Partner Data Platform
15f5eb38-47be-4b82-8a27-7d5af5b2d164,AU-11,Audit and Accountability,74d84c27-f092-4709-a5df-625cfdad6495,Partner Data Platform,2025-02-14,Self-Assessment,IT Security Team,Implemented,Partially Effective,,,,,Assessment of AU-11 for Partner Data Platform
